player,jn,position,team
Hilary Knight,21,Center,home
Lee Stecklein,2,Defense,home
Cayla Barnes,3,Defense,home
Megan Keller,5,Defense,home
Kelly Pannek,12,Center,home
Hannah Brandt,20,Center,home
Dani Cameranesi,24,Center,home
Kendall Coyne Schofield,26,Center,home
Amanda Kessel,28,Center,home
Maddie Rooney,35,Goalie,home
Alex Carpenter,25,Left Wing,home
Hayley Scamurra,16,Left Wing,home
Megan Bozek,9,Defense,home
Savannah Harmon,15,Defense,home
Jesse Compher,18,Center,home
Caroline Harvey,4,Defense,home
Abby Roque,11,Center,home
Grace Zumwinkle,13,Center,home
Jincy Dunne,19,Defense,home
Abbey Murphy,37,Center,home
Jocelyne Larocque,3,Defense,away
Rebecca Johnston,6,Center,away
Laura Stacey,7,Center,away
Jillian Saulnier,11,Center,away
Renata Fast,14,Defense,away
Brianne Jenner,19,Center,away
Sarah Nurse,20,Center,away
Natalie Spooner,24,Center,away
Emily Clark,26,Center,away
Marie-Philip Poulin,29,Center,away
Ann-Renee Desbiens,35,Goalie,away
Blayre Turnbull,40,Center,away
Ella Shelton,17,Defense,away
Erin Ambrose,23,Defense,away
Jamie Lee Rattray,47,Left Wing,away
Mich Zandee-Hart,28,Defense,away
Sarah Fillier,10,Center,away
Ashton Bell,21,Defense,away
Emma Maltais,27,Center,away
Claire Thompson,42,Defense,away
