player,jn,position,team
Jenni Hiirikoski,6,Defense,home
Ronja Savolainen,88,Defense,home
Minnamari Tuominen,15,Defense,home
Ella Viitasuo,8,Defense,home
Sanni Hakala,23,Left Wing,home
Michelle Karvinen,33,Left Wing,home
Petra Nieminen,16,Center,home
Tanja Niskanen,61,Center,home
Susanna Tapani,77,Center,home
Noora Tulus,40,Right Wing,home
Elisa Holopainen,10,Left Wing,home
Nelli Laitinen,9,Defense,home
Viivi Vainikka,24,Center,home
Anni Keisala,36,Goalie,home
Sanni Vanhanen,12,Center,home
Sini Karjalainen,2,Defense,home
Emilia Vesa,32,Right Wing,home
Jenniina Nylund,28,Center,home
Sofianna Sundelin,34,Left Wing,home
Julia Liikala,27,Right Wing,home
Sanni Rantala,7,Defense,home
Maria Batalova,22,Center,away
Angelina Goncharenko,2,Defense,away
Nina Pirogova,13,Center,away
Lyudmila Belyakova,10,Left Wing,away
Fanuza Kadirova,17,Left Wing,away
Valeria Pavlova,15,Left Wing,away
Anna Shokhina,97,Right Wing,away
Yelena Provorova,19,Defense,away
Yekaterina Dobrodeyeva,26,Center,away
Veronika Korzhakova,27,Center,away
Alexandra Vafina,29,Center,away
Valeria Merkusheva,30,Goalie,away
Oxana Bratishcheva,42,Center,away
Anna Shibanova,70,Defense,away
Anna Savonina,72,Defense,away
Landysh Falyakhova,79,Center,away
Maria Sorokina,69,Goalie,away
Maria Pechnikova,12,Defense,away
Yulia Smirnova,4,Defense,away
Polina Luchnikova,87,Center,away
