player,jn,position,team
Maria Batalova,22,Center,home
Liana Ganeyeva,11,Defense,home
Angelina Goncharenko,2,Defense,home
Yekaterina Nikolayeva,76,Defense,home
Nina Pirogova,13,Center,home
Lyudmila Belyakova,10,Left Wing,home
Fanuza Kadirova,17,Left Wing,home
Valeria Pavlova,15,Left Wing,home
Anna Shokhina,97,Right Wing,home
Olga Sosina,18,Left Wing,home
Yelena Provorova,19,Defense,home
Yekaterina Dobrodeyeva,26,Center,home
Veronika Korzhakova,27,Center,home
Alexandra Vafina,29,Center,home
Valeria Merkusheva,30,Goalie,home
Oxana Bratishcheva,42,Center,home
Anna Shibanova,70,Defense,home
Anna Savonina,72,Defense,home
Landysh Falyakhova,79,Center,home
Yulia Smirnova,4,Defense,home
Polina Luchnikova,87,Center,home
Sarah Forster,3,Defense,away
Andrea Brandli,20,Goalie,away
Lara Christen,17,Defense,away
Sinja Leemann,22,Defense,away
Shannon Sigrist,9,Defense,away
Nicole Vallario,16,Defense,away
Stefanie Wetli,18,Defense,away
Rahel Enzler,21,Center,away
Lena Marie Lutz,71,Center,away
Alina Marti,28,Center,away
Alina Muller,25,Center,away
Kaleigh Quennec,8,Center,away
Evelina Raselli,11,Center,away
Dominique Ruegg,26,Center,away
Noemi Ryhner,24,Center,away
Phoebe Staenz,88,Center,away
Lara Stalder,7,Center,away
Laura Zimmermann,15,Center,away
Nicole Bullo,23,Defense,away
Keely Moy,98,Center,away
