player,jn,position,team
Jocelyne Larocque,3,Defense,home
Rebecca Johnston,6,Center,home
Laura Stacey,7,Center,home
Jillian Saulnier,11,Center,home
Renata Fast,14,Defense,home
Melodie Daoust,15,Center,home
Brianne Jenner,19,Center,home
Sarah Nurse,20,Center,home
Natalie Spooner,24,Center,home
Emily Clark,26,Center,home
Marie-Philip Poulin,29,Center,home
Ann-Renee Desbiens,35,Goalie,home
Blayre Turnbull,40,Center,home
Ella Shelton,17,Defense,home
Erin Ambrose,23,Defense,home
Jamie Lee Rattray,47,Left Wing,home
Mich Zandee-Hart,28,Defense,home
Sarah Fillier,10,Center,home
Ashton Bell,21,Defense,home
Emma Maltais,27,Center,home
Claire Thompson,42,Defense,home
Sarah Forster,3,Defense,away
Andrea Brandli,20,Goalie,away
Saskia Maurer,29,Goalie,away
Lara Christen,17,Defense,away
Nadine Hofstetter,4,Defense,away
Sinja Leemann,22,Defense,away
Shannon Sigrist,9,Defense,away
Nicole Vallario,16,Defense,away
Stefanie Wetli,18,Defense,away
Rahel Enzler,21,Center,away
Lena Marie Lutz,71,Center,away
Alina Marti,28,Center,away
Alina Muller,25,Center,away
Kaleigh Quennec,8,Center,away
Evelina Raselli,11,Center,away
Dominique Ruegg,26,Center,away
Noemi Ryhner,24,Center,away
Phoebe Staenz,88,Center,away
Lara Stalder,7,Center,away
Laura Zimmermann,15,Center,away
Nicole Bullo,23,Defense,away
Keely Moy,98,Center,away
