player,jn,position,team
Jenni Hiirikoski,6,Defense,home
Ronja Savolainen,88,Defense,home
Minnamari Tuominen,15,Defense,home
Ella Viitasuo,8,Defense,home
Sanni Hakala,23,Left Wing,home
Michelle Karvinen,33,Left Wing,home
Petra Nieminen,16,Center,home
Tanja Niskanen,61,Center,home
Susanna Tapani,77,Center,home
Noora Tulus,40,Right Wing,home
Elisa Holopainen,10,Left Wing,home
Nelli Laitinen,9,Defense,home
Viivi Vainikka,24,Center,home
Anni Keisala,36,Goalie,home
Sanni Vanhanen,12,Center,home
Sini Karjalainen,2,Defense,home
Emilia Vesa,32,Right Wing,home
Jenniina Nylund,28,Center,home
Sofianna Sundelin,34,Left Wing,home
Julia Liikala,27,Right Wing,home
Sanni Rantala,7,Defense,home
Sarah Forster,3,Defense,away
Andrea Brandli,20,Goalie,away
Lara Christen,17,Defense,away
Nadine Hofstetter,4,Defense,away
Sinja Leemann,22,Defense,away
Shannon Sigrist,9,Defense,away
Nicole Vallario,16,Defense,away
Stefanie Wetli,18,Defense,away
Rahel Enzler,21,Center,away
Lena Marie Lutz,71,Center,away
Alina Marti,28,Center,away
Alina Muller,25,Center,away
Kaleigh Quennec,8,Center,away
Evelina Raselli,11,Center,away
Dominique Ruegg,26,Center,away
Noemi Ryhner,24,Center,away
Phoebe Staenz,88,Center,away
Lara Stalder,7,Center,away
Laura Zimmermann,15,Center,away
Nicole Bullo,23,Defense,away
Keely Moy,98,Center,away
