"game_date","Home Team","Away Team","Period","Clock","Home Team Skaters","Away Team Skaters","Home Team Goals","Away Team Goals","Team","Player","Event","X Coordinate","Y Coordinate","Detail 1","Detail 2","Detail 3","Detail 4","Player 2","X Coordinate 2","Y Coordinate 2"
"2020-03-01","Erie Otters","London Knights","1","20:00","5","5","0","0","London Knights","Jason Willms","Faceoff Win","100","43","Backhand",,,,"Billy Moskal",,
"2020-03-01","Erie Otters","London Knights","1","19:59","5","5","0","0","London Knights","Billy Moskal","Puck Recovery","105","36",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:59","5","5","0","0","London Knights","Billy Moskal","Play","105","36","Direct",,,,"Markus Phillips","69","31"
"2020-03-01","Erie Otters","London Knights","1","19:55","5","5","0","0","London Knights","Markus Phillips","Play","50","25","Direct",,,,"Alec Regula","51","81"
"2020-03-01","Erie Otters","London Knights","1","19:53","5","5","0","0","London Knights","Alec Regula","Play","80","76","Direct",,,,"Jason Willms","106","65"
"2020-03-01","Erie Otters","London Knights","1","19:52","5","5","0","0","London Knights","Jason Willms","Dump In/Out","106","65","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:52","5","5","0","0","Erie Otters","Jacob Golden","Zone Entry","106","65","Dumped",,,,"Kurtis Henry",,
"2020-03-01","Erie Otters","London Knights","1","19:48","5","5","0","0","Erie Otters","Jacob Golden","Puck Recovery","2","43",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:48","5","5","0","0","Erie Otters","Jacob Golden","Incomplete Play","2","43","Indirect",,,,"Brendan Hoffmann","6","56"
"2020-03-01","Erie Otters","London Knights","1","19:46","5","5","0","0","London Knights","Jason Willms","Puck Recovery","186","6",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:45","5","5","0","0","London Knights","Jason Willms","Incomplete Play","172","2","Indirect",,,,"Billy Moskal","194","31"
"2020-03-01","Erie Otters","London Knights","1","19:42","5","5","0","0","London Knights","Jason Willms","Puck Recovery","150","4",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:41","5","5","0","0","London Knights","Jason Willms","Incomplete Play","173","6","Direct",,,,"Billy Moskal","177","33"
"2020-03-01","Erie Otters","London Knights","1","19:39","5","5","0","0","London Knights","Billy Moskal","Puck Recovery","198","47",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:29","5","5","0","0","Erie Otters","Kurtis Henry","Puck Recovery","15","12",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:29","5","5","0","0","Erie Otters","Kurtis Henry","Play","15","12","Indirect",,,,"Daniel D'Amato","44","9"
"2020-03-01","Erie Otters","London Knights","1","19:27","5","5","0","0","Erie Otters","Daniel D'Amato","Play","62","7","Direct",,,,"Brendan Sellan","74","27"
"2020-03-01","Erie Otters","London Knights","1","19:23","5","5","0","0","Erie Otters","Brendan Sellan","Dump In/Out","113","81","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:23","5","5","0","0","London Knights","Alec Regula","Zone Entry","113","81","Dumped",,,,"Markus Phillips",,
"2020-03-01","Erie Otters","London Knights","1","19:20","5","5","0","0","London Knights","Alec Regula","Puck Recovery","2","25",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:20","5","5","0","0","London Knights","Alec Regula","Play","2","25","Indirect",,,,"Markus Phillips","16","7"
"2020-03-01","Erie Otters","London Knights","1","19:16","5","5","0","0","Erie Otters","Daniel D'Amato","Puck Recovery","180","64",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:16","5","5","0","0","Erie Otters","Daniel D'Amato","Shot","174","64","Snapshot","Missed","f","f",,,
"2020-03-01","Erie Otters","London Knights","1","19:14","5","5","0","0","Erie Otters","Kyen Sopa","Puck Recovery","170","5",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:11","5","5","0","0","London Knights","Jason Willms","Puck Recovery","37","79",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:10","5","5","0","0","London Knights","Jason Willms","Play","62","67","Direct",,,,"Billy Moskal","87","38"
"2020-03-01","Erie Otters","London Knights","1","19:07","5","5","0","0","London Knights","Billy Moskal","Dump In/Out","122","28","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:07","5","5","0","0","Erie Otters","Jack Duff","Zone Entry","122","28","Dumped",,,,"Jamie Drysdale",,
"2020-03-01","Erie Otters","London Knights","1","19:03","5","5","0","0","Erie Otters","Jack Duff","Puck Recovery","1","39",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","19:03","5","5","0","0","Erie Otters","Jack Duff","Play","1","39","Indirect",,,,"Maxim Golod","39","0"
"2020-03-01","Erie Otters","London Knights","1","19:02","5","5","0","0","Erie Otters","Maxim Golod","Play","39","0","Direct",,,,"Chad Yetman","41","12"
"2020-03-01","Erie Otters","London Knights","1","18:57","5","5","0","0","London Knights","Chad Yetman","Zone Entry","125","27","Carried",,,,"Kirill Steklov",,
"2020-03-01","Erie Otters","London Knights","1","18:56","5","5","0","0","Erie Otters","Chad Yetman","Shot","143","53","Wristshot","On Net","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","18:55","5","5","0","0","London Knights","Matvey Guskov","Puck Recovery","27","51",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:55","5","5","0","0","London Knights","Matvey Guskov","Play","27","51","Direct",,,,"Connor McMichael","47","61"
